variavel_tecnica;coeficiente;coeficiente_absoluto;variavel;direcao
categoricas__DS_OCUPACAO_VEREADOR;3,1689813378625833;3,1689813378625833;Ocupação: VEREADOR;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_SECRETÁRIO E DATILÓGRAFO;1,6896917791883315;1,6896917791883315;Ocupação: SECRETÁRIO E DATILÓGRAFO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ENFERMEIRO;1,4583032134398792;1,4583032134398792;Ocupação: ENFERMEIRO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_SECRETÁRIO,ESTENÓGRAFO,DATILÓGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUÍGRAF;1,3729588984592045;1,3729588984592045;Ocupação: SECRETÁRIO,ESTENÓGRAFO,DATILÓGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUÍGRAF;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ASSISTENTE SOCIAL;1,3314815451627733;1,3314815451627733;Ocupação: ASSISTENTE SOCIAL;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ZOOTECNISTA;1,3258355891431721;1,3258355891431721;Ocupação: ZOOTECNISTA;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_COMUNICÓLOGO;1,1784980428037184;1,1784980428037184;Ocupação: COMUNICÓLOGO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ESTETICISTA;1,1089656634097662;1,1089656634097662;Ocupação: ESTETICISTA;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_PECUARISTA;1,0311104137720521;1,0311104137720521;Ocupação: PECUARISTA;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_FARMACÊUTICO;1,0177818972033423;1,0177818972033423;Ocupação: FARMACÊUTICO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_TRABALHADOR FLORESTAL;0,9983255018676145;0,9983255018676145;Ocupação: TRABALHADOR FLORESTAL;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ODONTÓLOGO;0,9773079773686033;0,9773079773686033;Ocupação: ODONTÓLOGO;Maior probabilidade estimada de eleição
categoricas__SG_PARTIDO_PSD;0,9439485607205461;0,9439485607205461;Partido: PSD;Maior probabilidade estimada de eleição
categoricas__SG_PARTIDO_PV;0,9201696238058861;0,9201696238058861;Partido: PV;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_SENADOR, DEPUTADO E VEREADOR;0,9091953171401272;0,9091953171401272;Ocupação: SENADOR, DEPUTADO E VEREADOR;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_SERVIDOR PÚBLICO MUNICIPAL;0,9082777736516552;0,9082777736516552;Ocupação: SERVIDOR PÚBLICO MUNICIPAL;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ANALISTA DE SISTEMAS;0,8812035932748997;0,8812035932748997;Ocupação: ANALISTA DE SISTEMAS;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ELETRICISTA E ASSEMELHADOS;0,8643490621101795;0,8643490621101795;Ocupação: ELETRICISTA E ASSEMELHADOS;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_AGENTE DE VIAGEM;0,8353604426613778;0,8353604426613778;Ocupação: AGENTE DE VIAGEM;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_AGRICULTOR;0,8153520987097248;0,8153520987097248;Ocupação: AGRICULTOR;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ENCANADOR,SOLDADOR,CHAPEADOR,CALDEIREIRO,MONTADOR DE ESTRUTURA METÁLIC;0,7937345129502767;0,7937345129502767;Ocupação: ENCANADOR,SOLDADOR,CHAPEADOR,CALDEIREIRO,MONTADOR DE ESTRUTURA METÁLIC;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_AGENTE DE SAÚDE E SANITARISTA;0,7929014870643328;0,7929014870643328;Ocupação: AGENTE DE SAÚDE E SANITARISTA;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_TRABALHADOR DOS SERVIÇOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;0,7875804425041419;0,7875804425041419;Ocupação: TRABALHADOR DOS SERVIÇOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_PEDAGOGO;0,7626741587607385;0,7626741587607385;Ocupação: PEDAGOGO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO;0,7481685167267728;0,7481685167267728;Ocupação: TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_PROFESSOR DE ENSINO MÉDIO;0,736279752301258;0,736279752301258;Ocupação: PROFESSOR DE ENSINO MÉDIO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_COMERCIANTE;0,717263609325363;0,717263609325363;Ocupação: COMERCIANTE;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);0,7076326730686753;0,7076326730686753;Ocupação: TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_INDUSTRIAL;0,7039716834742097;0,7039716834742097;Ocupação: INDUSTRIAL;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_SERVIDOR PÚBLICO FEDERAL;0,7024783083534077;0,7024783083534077;Ocupação: SERVIDOR PÚBLICO FEDERAL;Maior probabilidade estimada de eleição
categoricas__SG_PARTIDO_PT;0,6883592534704541;0,6883592534704541;Partido: PT;Maior probabilidade estimada de eleição
categoricas__SG_PARTIDO_PC do B;0,6729397007666352;0,6729397007666352;Partido: PC do B;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_PROFESSOR DE ENSINO FUNDAMENTAL;0,671844747851361;0,671844747851361;Ocupação: PROFESSOR DE ENSINO FUNDAMENTAL;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_PROTÉTICO;0,6692235481630159;0,6692235481630159;Ocupação: PROTÉTICO;Maior probabilidade estimada de eleição
categoricas__SG_PARTIDO_AVANTE;0,6665850833336422;0,6665850833336422;Partido: AVANTE;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ADMINISTRADOR;0,6276708116930857;0,6276708116930857;Ocupação: ADMINISTRADOR;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ARTESÃO;0,6121773427669607;0,6121773427669607;Ocupação: ARTESÃO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_CARPINTEIRO, MARCENEIRO E ASSEMELHADOS;0,6095414519098243;0,6095414519098243;Ocupação: CARPINTEIRO, MARCENEIRO E ASSEMELHADOS;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_DIRETOR DE ESTABELECIMENTO DE ENSINO;0,5959661121803341;0,5959661121803341;Ocupação: DIRETOR DE ESTABELECIMENTO DE ENSINO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ADVOGADO;0,5743851629424156;0,5743851629424156;Ocupação: ADVOGADO;Maior probabilidade estimada de eleição
categoricas__SG_PARTIDO_UNIÃO;0,5648525170783146;0,5648525170783146;Partido: UNIÃO;Maior probabilidade estimada de eleição
categoricas__SG_PARTIDO_PP;0,5638808250263991;0,5638808250263991;Partido: PP;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;0,5507466216240942;0,5507466216240942;Ocupação: PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_SERVIDOR PÚBLICO CIVIL APOSENTADO;0,5378675463956948;0,5378675463956948;Ocupação: SERVIDOR PÚBLICO CIVIL APOSENTADO;Maior probabilidade estimada de eleição
categoricas__SG_PARTIDO_PSDB;0,5357426595006137;0,5357426595006137;Partido: PSDB;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_PRODUTOR AGROPECUÁRIO;0,5253908475739091;0,5253908475739091;Ocupação: PRODUTOR AGROPECUÁRIO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_PSICÓLOGO;0,5164566156860362;0,5164566156860362;Ocupação: PSICÓLOGO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ENCANADOR, SOLDADOR, CHAPEADOR E CALDEIREIRO;0,5153800132224149;0,5153800132224149;Ocupação: ENCANADOR, SOLDADOR, CHAPEADOR E CALDEIREIRO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;0,5028273201112201;0,5028273201112201;Ocupação: VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_TRABALHADOR RURAL;0,4871867874623079;0,4871867874623079;Ocupação: TRABALHADOR RURAL;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA;0,47804713997267373;0,47804713997267373;Ocupação: MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_EMPRESÁRIO;0,4721993792875874;0,4721993792875874;Ocupação: EMPRESÁRIO;Maior probabilidade estimada de eleição
categoricas__SG_PARTIDO_MDB;0,47200198680577493;0,47200198680577493;Partido: MDB;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_SERVIDOR PÚBLICO ESTADUAL;0,4517184630236317;0,4517184630236317;Ocupação: SERVIDOR PÚBLICO ESTADUAL;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_TÉCNICO EM EDIFICAÇÕES;0,42782042635595957;0,42782042635595957;Ocupação: TÉCNICO EM EDIFICAÇÕES;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_ENGENHEIRO;0,4250488356861146;0,4250488356861146;Ocupação: ENGENHEIRO;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;0,42302377052961765;0,42302377052961765;Ocupação: FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;Maior probabilidade estimada de eleição
categoricas__DS_OCUPACAO_GERENTE;0,4156757115228932;0,4156757115228932;Ocupação: GERENTE;Maior probabilidade estimada de eleição
