faixa_etaria;total_candidatos;total_eleitos;taxa_eleicao;patrimonio_mediano
43 a 47 anos;5881;982;16,697840503315764;17000,0
38 a 42 anos;5395;863;15,996292863762744;10000,0
48 a 52 anos;4937;763;15,454729592870164;20000,0
33 a 37 anos;3421;503;14,703303127740428;3000,0
53 a 57 anos;3872;554;14,307851239669422;20000,0
28 a 32 anos;1990;258;12,964824120603016;850,0
58 a 62 anos;2359;300;12,71725307333616;29000,0
63 a 67 anos;1389;159;11,447084233261338;25000,0
73 a 77 anos;212;21;9,90566037735849;45940,0
68 a 72 anos;673;64;9,50965824665676;50348,71
23 a 27 anos;1062;96;9,03954802259887;0,0
18 a 22 anos;350;24;6,857142857142858;0,0
78 a 82 anos;71;4;5,633802816901409;87300,0
83 a 87 anos;11;0;0,0;14500,0
