SG_PARTIDO;total_candidatos;total_eleitos;taxa_eleicao;patrimonio_mediano
PSD;3901;924;23,68623429889772;20000,0
PC do B;855;178;20,818713450292396;20000,0
PV;382;70;18,32460732984293;13000,0
PP;2359;416;17,634590928359476;10500,369999999999
AVANTE;2741;473;17,256475738781464;10000,0
PT;2526;427;16,904196357878067;17100,0
UNIÃO;2203;372;16,886064457557875;19300,0
MDB;2375;365;15,368421052631579;11000,0
PSDB;1087;167;15,363385464581416;10000,0
PSB;1954;280;14,329580348004095;14000,0
PODE;1616;188;11,633663366336634;7850,0
PDT;1235;136;11,012145748987855;2038,06
PRD;659;70;10,62215477996965;10000,0
SOLIDARIEDADE;1522;159;10,446780551905388;5325,05
REPUBLICANOS;1828;167;9,135667396061269;3521,175
AGIR;542;37;6,826568265682657;2550,0
PL;1087;62;5,703771849126035;8500,0
REDE;389;22;5,655526992287918;2000,0
CIDADANIA;197;9;4,568527918781726;9700,0
DC;489;21;4,294478527607362;2000,0
PMB;510;20;3,9215686274509802;0,0
MOBILIZA;300;9;3,0;0,0
PSOL;392;11;2,806122448979592;1750,0
PRTB;268;5;1,8656716417910446;0,0
NOVO;197;3;1,5228426395939088;10000,0
PCO;1;0;0,0;0,0
PCB;2;0;0,0;0,0
PSTU;2;0;0,0;20000,0
UP;4;0;0,0;7500,0
